raw_line,line_type,source_file
Evrak No :202500327,evrak,lescon    örme usd hs.xls
"1.412.670 TL/35,4932 16.01.2025 VD.ÇEK TAHSİL-FNo:182573",kur_farki,lescon    örme usd hs.xls
Evrak No :202500286,evrak,lescon    örme usd hs.xls
7.70$+KDV /SCUBA INCE POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500321,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM POLY.RAPOR PIKE ELAS.ANTISTATIK PFD,price_product,lescon    örme usd hs.xls
7.50$+KDV /JAKAR SUPREM POLY.RAPOR PIKE ELAS.ANTISTATIK,price_product,lescon    örme usd hs.xls
"78.044,40 TL/35,4932 16.01.25 VD.ÇEK FARKI-FNo:182604",kur_farki,lescon    örme usd hs.xls
Evrak No :202500380,evrak,lescon    örme usd hs.xls
Evrak No :202500379,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK PFD,price_product,lescon    örme usd hs.xls
Evrak No :202500416,evrak,lescon    örme usd hs.xls
7.50$+KDV /JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202500449,evrak,lescon    örme usd hs.xls
Evrak No :202500474,evrak,lescon    örme usd hs.xls
10$+KDV /NAYL.ELASTAN KASKORSE,price_product,lescon    örme usd hs.xls
"1.419.125,23 TL/35,6635 26.01.25 VD.ÇEK TAHSİL-FNo:182656",kur_farki,lescon    örme usd hs.xls
Evrak No :202500540,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.FILE 5*1 DUZ BOYA,price_product,lescon    örme usd hs.xls
Evrak No :202500539,evrak,lescon    örme usd hs.xls
10$+KDV /NAYL.ELASTAN DIAGONEL OTTOMAN,price_product,lescon    örme usd hs.xls
Evrak No :202500555,evrak,lescon    örme usd hs.xls
Evrak No :202501757,evrak,lescon    örme usd hs.xls
Evrak No :202501758,evrak,lescon    örme usd hs.xls
7.50$+KDV /SUPREM RAPORLU PIKE,price_product,lescon    örme usd hs.xls
6.50$+KDV /SUPREM RAPORLU PIKE,price_product,lescon    örme usd hs.xls
"85.586,31 TL/35,6635 26.01.25 VD.ÇEK FARKI-FNo:182707",kur_farki,lescon    örme usd hs.xls
Evrak No :202500576,evrak,lescon    örme usd hs.xls
6.30$+KDV /INTERLOK POLY.,price_product,lescon    örme usd hs.xls
Evrak No :202500575,evrak,lescon    örme usd hs.xls
Evrak No :202500577,evrak,lescon    örme usd hs.xls
7.50+KDV /JAKAR SUPREM POLY.RAPORLU ELASTAN ANTISTATIK APRE,diger,lescon    örme usd hs.xls
Toplam:,toplam,lescon    örme usd hs.xls
Evrak No :202500606,evrak,lescon    örme usd hs.xls
Evrak No :202500605,evrak,lescon    örme usd hs.xls
Evrak No :202500675,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM PES ELASTAN PFD ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202500658,evrak,lescon    örme usd hs.xls
Evrak No :202500657,evrak,lescon    örme usd hs.xls
Evrak No :202500686,evrak,lescon    örme usd hs.xls
Evrak No :202500685,evrak,lescon    örme usd hs.xls
Evrak No :202502097,evrak,lescon    örme usd hs.xls
Evrak No :202500705,evrak,lescon    örme usd hs.xls
Evrak No :202500704,evrak,lescon    örme usd hs.xls
Evrak No :202500703,evrak,lescon    örme usd hs.xls
Evrak No :202500738,evrak,lescon    örme usd hs.xls
7.50$+KDV /RAPORLU PIKE POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202502187,evrak,lescon    örme usd hs.xls
Evrak No :202500787,evrak,lescon    örme usd hs.xls
Evrak No :202500781,evrak,lescon    örme usd hs.xls
7.70$+KDV /INTERLOK POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500780,evrak,lescon    örme usd hs.xls
Evrak No :202500807,evrak,lescon    örme usd hs.xls
8.50$+KDV /SCUBA PENYE COMP.POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500800,evrak,lescon    örme usd hs.xls
6.50$+KDV /RAPORLU PIKE,price_product,lescon    örme usd hs.xls
Evrak No :202500816,evrak,lescon    örme usd hs.xls
8.30$+KDV /DOUBLEFACE PAMUK POLY.PIKE ELASTAN 36/1,price_product,lescon    örme usd hs.xls
8.50$+KDV /DOUBLEFACE PAMUK POLY.PIKE ELASTAN 40/1,price_product,lescon    örme usd hs.xls
Evrak No :202500836,evrak,lescon    örme usd hs.xls
Evrak No :202500880,evrak,lescon    örme usd hs.xls
Evrak No :202500886,evrak,lescon    örme usd hs.xls
7.50$+KDV /RAPORLU PIKE,price_product,lescon    örme usd hs.xls
Evrak No :202500907,evrak,lescon    örme usd hs.xls
Evrak No :202500891,evrak,lescon    örme usd hs.xls
Evrak No :202500030,evrak,lescon    örme usd hs.xls
8$+KDV /PIKE INTERLOK POLY.PAMUK ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500920,evrak,lescon    örme usd hs.xls
Evrak No :202500919,evrak,lescon    örme usd hs.xls
"1.040.925,40 TL/36,1711 16.02.25 VD.ÇEK TAHSİL-FNo:182854",kur_farki,lescon    örme usd hs.xls
